gene	gene_name	annotation	n_genomes	n_total	pct	classification	seq_length
group_56		hypothetical protein	97	97	100.0	core	1866
group_57		hypothetical protein	97	97	100.0	core	1860
group_58		hypothetical protein	97	97	100.0	core	1809
group_59		Protein CT_858	97	97	100.0	core	1806
group_6		hypothetical protein	97	97	100.0	core	3417
group_60		hypothetical protein	97	97	100.0	core	1770
group_61		4-hydroxybenzoate decarboxylase subunit C	97	97	100.0	core	1740
group_62		hypothetical protein	97	97	100.0	core	1737
group_63		hypothetical protein	97	97	100.0	core	1701
group_64		hypothetical protein	97	97	100.0	core	1689
group_65		hypothetical protein	97	97	100.0	core	1620
group_66		hypothetical protein	97	97	100.0	core	1512
group_67		hypothetical protein	97	97	100.0	core	2865
group_68		hypothetical protein	97	97	100.0	core	1491
group_69		hypothetical protein	97	97	100.0	core	1482
group_7		hypothetical protein	97	97	100.0	core	3600
group_70		hypothetical protein	97	97	100.0	core	1479
group_71		hypothetical protein	97	97	100.0	core	1479
group_72		Magnesium transporter MgtE	97	97	100.0	core	1473
group_73		hypothetical protein	97	97	100.0	core	1473
group_74		hypothetical protein	97	97	100.0	core	1464
group_75		hypothetical protein	97	97	100.0	core	1449
group_76		Cardiolipin synthase	97	97	100.0	core	1425
group_77		hypothetical protein	97	97	100.0	core	1401
group_78		putative uridylyltransferase	97	97	100.0	core	1368
group_79		hypothetical protein	97	97	100.0	core	1953
group_8		hypothetical protein	97	97	100.0	core	2073
group_80		hypothetical protein	97	97	100.0	core	1353
group_81		hypothetical protein	97	97	100.0	core	1353
group_82		hypothetical protein	97	97	100.0	core	1347
group_83		hypothetical protein	97	97	100.0	core	1326
group_84		hypothetical protein	97	97	100.0	core	1323
group_85		hypothetical protein	97	97	100.0	core	1320
group_86		hypothetical protein	97	97	100.0	core	1305
group_87		hypothetical protein	97	97	100.0	core	1302
group_88		hypothetical protein	97	97	100.0	core	1284
group_89		hypothetical protein	97	97	100.0	core	1278
group_9		hypothetical protein	97	97	100.0	core	3144
group_90		hypothetical protein	97	97	100.0	core	1275
group_91		hypothetical protein	97	97	100.0	core	1245
group_92		hypothetical protein	97	97	100.0	core	801
group_93		hypothetical protein	97	97	100.0	core	1230
group_94		hypothetical protein	97	97	100.0	core	1230
group_95		hypothetical protein	97	97	100.0	core	1224
group_96		hypothetical protein	97	97	100.0	core	1218
group_97		hypothetical protein	97	97	100.0	core	1215
group_98		hypothetical protein	97	97	100.0	core	1215
group_99		hypothetical protein	97	97	100.0	core	1200
grpE	grpE	Protein GrpE	97	97	100.0	core	573
gspD2~~~sctC_2	gspD2;;sctC_2	Secretin GspD 2;hypothetical protein;Type 3 secretion system secretin	97	97	100.0	core	2766
gspF	gspF	Putative type II secretion system protein F	97	97	100.0	core	1176
gyrA_1	gyrA_1	DNA gyrase subunit A	97	97	100.0	core	2511
gyrA_2	gyrA_2	DNA gyrase subunit A	97	97	100.0	core	1473
gyrB_1	gyrB_1	Type 2 topoisomerase subunit B	97	97	100.0	core	2415
gyrB_2	gyrB_2	DNA gyrase subunit B	97	97	100.0	core	1818
hctA	hctA	Histone H1-like protein Hc1	97	97	100.0	core	378
hctB_1~~~hctB~~~hctB_2	hctB_1;hctB;hctB_2	Histone H1-like protein HC2;Histone-like protein HC2	97	97	100.0	core	714
hemA	hemA	Glutamyl-tRNA reductase	97	97	100.0	core	1044
hemB	hemB	Delta-aminolevulinic acid dehydratase	97	97	100.0	core	1017
hemC	hemC	Porphobilinogen deaminase	97	97	100.0	core	726
hemE	hemE	Uroporphyrinogen decarboxylase	97	97	100.0	core	1005
hemH	hemH	Ferrochelatase	97	97	100.0	core	945
hemL	hemL	Glutamate-1-semialdehyde 21-aminomutase	97	97	100.0	core	1269
hemN	hemN	Oxygen-independent coproporphyrinogen III oxidase	97	97	100.0	core	1374
hemW	hemW	Heme chaperone HemW	97	97	100.0	core	1137
hemY	hemY	Protoporphyrinogen oxidase	97	97	100.0	core	1275
hflX	hflX	GTPase HflX	97	97	100.0	core	1344
hisS	hisS	Histidine--tRNA ligase	97	97	100.0	core	1287
hrcA	hrcA	Heat-inducible transcription repressor HrcA	97	97	100.0	core	1218
hupA	hupA	DNA-binding protein HU 1	97	97	100.0	core	303
hxcR	hxcR	putative type II secretion system protein HxcR	97	97	100.0	core	1506
ileS	ileS	Isoleucine--tRNA ligase	97	97	100.0	core	3126
incA	;incA	hypothetical protein;Inclusion membrane protein A	97	97	100.0	core	822
incD	incD	Inclusion membrane protein D	97	97	100.0	core	441
incE	incE	Inclusion membrane protein E	97	97	100.0	core	399
incF	incF	Inclusion membrane protein F	97	97	100.0	core	303
incG	incG	Inclusion membrane protein G	97	97	100.0	core	504
infA	infA	Translation initiation factor IF-1	97	97	100.0	core	222
infB	infB	Translation initiation factor IF-2	97	97	100.0	core	2691
infC	infC	Translation initiation factor IF-3	97	97	100.0	core	561
iscS	iscS	Cysteine desulfurase IscS	97	97	100.0	core	1155
ispD	ispD	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	97	97	100.0	core	660
ispE	ispE	Putative 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	97	97	100.0	core	870
ispF	ispF	2-C-methyl-D-erythritol 24-cyclodiphosphate synthase	97	97	100.0	core	537
ispG	ispG	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin)	97	97	100.0	core	1809
ispH2	ispH2	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 2	97	97	100.0	core	924
kdsA	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase	97	97	100.0	core	810
kdsB	kdsB	8-amino-38-dideoxy-manno-octulosonate cytidylyltransferase	97	97	100.0	core	792
kdsD	kdsD	Arabinose 5-phosphate isomerase KdsD	97	97	100.0	core	987
kgd	kgd	Multifunctional 2-oxoglutarate metabolism enzyme	97	97	100.0	core	2718
ldh	ldh	Leucine dehydrogenase	97	97	100.0	core	1041
lepA	lepA	Elongation factor 4	97	97	100.0	core	1809
leuS	leuS	Leucine--tRNA ligase	97	97	100.0	core	2460
lgt	lgt	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase	97	97	100.0	core	819
ligA	ligA	DNA ligase	97	97	100.0	core	1992
lipA	lipA	Lipoyl synthase	97	97	100.0	core	936
lipM	lipM	Octanoyltransferase LipM	97	97	100.0	core	720
lnt	lnt	Apolipoprotein N-acyltransferase	97	97	100.0	core	1629
lolD	lolD	Lipoprotein-releasing system ATP-binding protein LolD	97	97	100.0	core	678
lon	lon	Lon protease	97	97	100.0	core	2460
lplA	lplA	Lipoate-protein ligase A	97	97	100.0	core	702
lplT	lplT	Lysophospholipid transporter LplT	97	97	100.0	core	1680
lptB	lptB	Lipopolysaccharide export system ATP-binding protein LptB	97	97	100.0	core	720
lpxA	lpxA	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	97	97	100.0	core	843
lpxB	lpxB	Lipid-A-disaccharide synthase	97	97	100.0	core	1824
lpxC	lpxC	UDP-3-O-acyl-N-acetylglucosamine deacetylase	97	97	100.0	core	861
lpxD	lpxD	UDP-3-O-acylglucosamine N-acyltransferase	97	97	100.0	core	1065
lpxG	lpxG	UDP-23-diacylglucosamine pyrophosphatase LpxG	97	97	100.0	core	978
lpxK_2~~~lpxK_1~~~lpxK	lpxK_2;lpxK_1;lpxK	Tetraacyldisaccharide 4'-kinase	97	97	100.0	core	1110
lpxL	lpxL	Lipid A biosynthesis lauroyltransferase	97	97	100.0	core	1368
lspA	lspA	Lipoprotein signal peptidase	97	97	100.0	core	504
lysC	lysC	Lysine-sensitive aspartokinase 3	97	97	100.0	core	1296
lysS	lysS	Lysine--tRNA ligase	97	97	100.0	core	1581
maf	maf	dTTP/UTP pyrophosphatase	97	97	100.0	core	591
malP	malP	Maltodextrin phosphorylase	97	97	100.0	core	2445
malQ	malQ;	4-alpha-glucanotransferase;hypothetical protein	97	97	100.0	core	1584
manP	manP	PTS system mannose-specific EIIBCA component	97	97	100.0	core	477
map	map	Methionine aminopeptidase	97	97	100.0	core	876
mazG	mazG	Nucleoside triphosphate pyrophosphohydrolase/pyrophosphatase MazG	97	97	100.0	core	384
mcsB	mcsB	Protein-arginine kinase	97	97	100.0	core	1071
mdh	mdh	Malate dehydrogenase	97	97	100.0	core	981
menG	menG	Demethylmenaquinone methyltransferase	97	97	100.0	core	654
menH	;menH	hypothetical protein;2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase	97	97	100.0	core	909
metG	metG	Methionine--tRNA ligase	97	97	100.0	core	1653
mfd	mfd	Transcription-repair-coupling factor	97	97	100.0	core	3240
mhpA	mhpA	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase	97	97	100.0	core	1524
miaA	miaA	tRNA dimethylallyltransferase	97	97	100.0	core	1020
mip	mip	Outer membrane protein MIP	97	97	100.0	core	705
mnmA	mnmA	tRNA-specific 2-thiouridylase MnmA	97	97	100.0	core	1077
mnmC	mnmC	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC	97	97	100.0	core	1059
mnmE	mnmE	tRNA modification GTPase MnmE	97	97	100.0	core	1335
mnmG	mnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	97	97	100.0	core	1833
mntA	mntA	Manganese-binding lipoprotein MntA	97	97	100.0	core	981
mntB_1	mntB_1	Manganese transport system ATP-binding protein MntB	97	97	100.0	core	819
mntB_2	mntB_2	Manganese transport system membrane protein MntB	97	97	100.0	core	876
mntC	mntC;	Manganese transport system membrane protein MntC;hypothetical protein	97	97	100.0	core	1356
mqnA	mqnA	Chorismate dehydratase	97	97	100.0	core	822
mqnC	mqnC	Cyclic dehypoxanthine futalosine synthase	97	97	100.0	core	1053
mqnD	mqnD	14-dihydroxy-6-naphtoate synthase	97	97	100.0	core	771
mqnE	mqnE	Aminodeoxyfutalosine synthase	97	97	100.0	core	1110
mraY	mraY	Phospho-N-acetylmuramoyl-pentapeptide-transferase	97	97	100.0	core	1011
mrdA	mrdA	Peptidoglycan DD-transpeptidase MrdA	97	97	100.0	core	3243
mrdB	mrdB	Peptidoglycan glycosyltransferase MrdB	97	97	100.0	core	1140
mreB	mreB	Cell shape-determining protein MreB	97	97	100.0	core	1101
murA1	murA1	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1	97	97	100.0	core	1335
murB	murB	UDP-N-acetylenolpyruvoylglucosamine reductase	97	97	100.0	core	876
murC	murC	UDP-N-acetylmuramate--L-alanine ligase	97	97	100.0	core	2409
murD	murD	UDP-N-acetylmuramoylalanine--D-glutamate ligase	97	97	100.0	core	1251
murE	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--26-diaminopimelate ligase	97	97	100.0	core	1452
murF	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	97	97	100.0	core	1353
murG	murG	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	97	97	100.0	core	1029
murJ	murJ	lipid II flippase MurJ	97	97	100.0	core	1611
mutL	mutL	DNA mismatch repair protein MutL	97	97	100.0	core	1731
mutS	mutS	DNA mismatch repair protein MutS	97	97	100.0	core	2463
mutY	mutY	Adenine DNA glycosylase	97	97	100.0	core	1110
mxiA	mxiA	Protein MxiA	97	97	100.0	core	2130
ndk	ndk	Nucleoside diphosphate kinase	97	97	100.0	core	471
nfo	nfo	Endonuclease 4	97	97	100.0	core	867
nhaD	nhaD	Na(+)/H(+) antiporter NhaD	97	97	100.0	core	1266
nifS	nifS	Cysteine desulfurase NifS	97	97	100.0	core	1125
nqrA	nqrA	Na(+)-translocating NADH-quinone reductase subunit A	97	97	100.0	core	1398
nqrB	nqrB	Na(+)-translocating NADH-quinone reductase subunit B	97	97	100.0	core	1512
nqrC	nqrC	Na(+)-translocating NADH-quinone reductase subunit C	97	97	100.0	core	951
nqrD	nqrD	Na(+)-translocating NADH-quinone reductase subunit D	97	97	100.0	core	642
nqrE	nqrE	Na(+)-translocating NADH-quinone reductase subunit E	97	97	100.0	core	735
nqrF	nqrF	Na(+)-translocating NADH-quinone reductase subunit F	97	97	100.0	core	1296
nrdB	nrdB	Ribonucleoside-diphosphate reductase subunit beta	97	97	100.0	core	1041
nrdR	nrdR	Transcriptional repressor NrdR	97	97	100.0	core	465
nth	nth	Endonuclease III	97	97	100.0	core	636
ntpA	ntpA	V-type sodium ATPase catalytic subunit A	97	97	100.0	core	1776
ntpB	ntpB	V-type sodium ATPase subunit B	97	97	100.0	core	1317
ntpK	ntpK	V-type sodium ATPase subunit K	97	97	100.0	core	426
nusA	nusA	Transcription termination/antitermination protein NusA	97	97	100.0	core	1323
nusB	nusB	Transcription antitermination protein NusB	97	97	100.0	core	789
nusG	nusG	Transcription termination/antitermination protein NusG	97	97	100.0	core	549
obg	obg	GTPase Obg	97	97	100.0	core	1008
odhB	odhB	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	97	97	100.0	core	1101
ogt	ogt	Methylated-DNA--protein-cysteine methyltransferase	97	97	100.0	core	513
omcA	omcA	Small cysteine-rich outer membrane protein OmcA	97	97	100.0	core	267
omcB	omcB	Large cysteine-rich periplasmic protein OmcB	97	97	100.0	core	1644
ompA_2~~~ompA~~~ompA_1	ompA_2;ompA;ompA_1	Major outer membrane porin serovar L1;Major outer membrane porin serovar D;Major outer membrane porin serovar L3;Major outer membrane porin serovar C;Major outer membrane porin serovar B;Major outer membrane porin serovar F;Major outer membrane porin serovar A;Major outer membrane porin serovar E;Major outer membrane porin;Major outer membrane porin serovar H	97	97	100.0	core	1257
oppA_1	oppA_1	Oligopeptide-binding protein OppA	97	97	100.0	core	1281
oppA_2	oppA_2	Oligopeptide-binding protein OppA	97	97	100.0	core	1557
oppB	oppB	Oligopeptide transport system permease protein OppB	97	97	100.0	core	942
oppC	oppC	Oligopeptide transport system permease protein OppC	97	97	100.0	core	846
oppD_1	oppD_1	Oligopeptide transport ATP-binding protein OppD	97	97	100.0	core	834
oppD_2	oppD_2	Oligopeptide transport ATP-binding protein OppD	97	97	100.0	core	966
oppF	oppF	Oligopeptide transport ATP-binding protein OppF	97	97	100.0	core	831
pal	pal	Peptidoglycan-associated lipoprotein	97	97	100.0	core	609
pckG	pckG	Phosphoenolpyruvate carboxykinase [GTP]	97	97	100.0	core	1800
pcnB	pcnB	Poly(A) polymerase I	97	97	100.0	core	1278
pcrA	pcrA	ATP-dependent DNA helicase PcrA	97	97	100.0	core	1968
pdhC_1	pdhC_1	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	97	97	100.0	core	1290
pdhC_2	pdhC_2	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	97	97	100.0	core	1167
pdhD	pdhD	Dihydrolipoyl dehydrogenase	97	97	100.0	core	1398
pepA	pepA	putative cytosol aminopeptidase	97	97	100.0	core	1500
pepF1	pepF1	Oligoendopeptidase F plasmid	97	97	100.0	core	1827
pfp_1	pfp_1	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase	97	97	100.0	core	1662
pfp_2	pfp_2	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase	97	97	100.0	core	1647
pgcA	pgcA	Phosphoglucomutase	97	97	100.0	core	1782
pgi	pgi	Glucose-6-phosphate isomerase	97	97	100.0	core	1578
pgktpi	pgk/tpi	Bifunctional PGK/TIM	97	97	100.0	core	1212
pgl	pgl	6-phosphogluconolactonase	97	97	100.0	core	771
pgsA_1	pgsA_1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	97	97	100.0	core	555
pgsA_2	pgsA_2	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	97	97	100.0	core	549
pheS	pheS	Phenylalanine--tRNA ligase alpha subunit	97	97	100.0	core	1029
pheT	pheT	Phenylalanine--tRNA ligase beta subunit	97	97	100.0	core	2373
pkn1	pkn1	Serine/threonine-protein kinase Pkn1	97	97	100.0	core	1845
pknD_1	pknD_1	Serine/threonine-protein kinase PknD	97	97	100.0	core	2805
pknD_2	pknD_2	Serine/threonine-protein kinase PknD	97	97	100.0	core	1473
plqA	plqA	4-hydroxybenzoate solanesyltransferase	97	97	100.0	core	909
plsC	plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	97	97	100.0	core	651
plsX	plsX	Phosphate acyltransferase	97	97	100.0	core	966
pmpA	pmpA	putative outer membrane protein PmpA	97	97	100.0	core	2928
pmpB_1~~~pmpB~~~pmpB_2	pmpB_1;pmpB;pmpB_2	putative outer membrane protein PmpB	97	97	100.0	core	5259
pmpC~~~pmpC_1~~~pmpC_2	pmpC;pmpC_1;pmpC_2	putative outer membrane protein PmpC	97	97	100.0	core	5355
pmpD_2~~~pmpD_1~~~pmpD	pmpD_2;pmpD_1;pmpD	putative outer membrane protein PmpD	97	97	100.0	core	4596
pmpE~~~pmpE_1~~~pmpE_2	pmpE;pmpE_1;pmpE_2	putative outer membrane protein PmpE	97	97	100.0	core	2898
pmpF	pmpF	putative outer membrane protein PmpF	97	97	100.0	core	3171
pmpG	pmpG	putative outer membrane protein PmpG	97	97	100.0	core	3042
pmpH	pmpH	putative outer membrane protein PmpH	97	97	100.0	core	3057
pmpI	pmpI	putative outer membrane protein PmpI	97	97	100.0	core	2637
pnp	pnp	Polyribonucleotide nucleotidyltransferase	97	97	100.0	core	2088
polA	polA	DNA polymerase I	97	97	100.0	core	2601
ppa	ppa	Inorganic pyrophosphatase	97	97	100.0	core	630
prfA	prfA	Peptide chain release factor RF1	97	97	100.0	core	1080
prfB	prfB	Peptide chain release factor 2	97	97	100.0	core	990
priA	priA	Primosomal protein N'	97	97	100.0	core	2262
prmC	prmC	Release factor glutamine methyltransferase	97	97	100.0	core	873
proS_1~~~proS_2~~~proS	proS_1;proS_2;proS	Proline--tRNA ligase	97	97	100.0	core	1746
pth	pth	Peptidyl-tRNA hydrolase	97	97	100.0	core	540
ptrA	ptrA	Protease 3	97	97	100.0	core	2871
ptsI	ptsI	Phosphoenolpyruvate-protein phosphotransferase	97	97	100.0	core	1716
pyk	pyk	Pyruvate kinase	97	97	100.0	core	1458
pyrG	pyrG	CTP synthase	97	97	100.0	core	1620
pyrH	pyrH	Uridylate kinase	97	97	100.0	core	738
radA	radA	DNA repair protein RadA	97	97	100.0	core	1365
rapA	rapA	RNA polymerase-associated protein RapA	97	97	100.0	core	3492
rbfA	rbfA	Ribosome-binding factor A	97	97	100.0	core	372
rbn	rbn	Ribonuclease BN	97	97	100.0	core	828
recA	recA	Protein RecA	97	97	100.0	core	1059
recB	recB	RecBCD enzyme subunit RecB	97	97	100.0	core	3081
recC	recC	RecBCD enzyme subunit RecC	97	97	100.0	core	3021
recD2	recD2	ATP-dependent RecD-like DNA helicase	97	97	100.0	core	2241
recD_2~~~recD_1~~~recD	recD_2;recD_1;recD	RecBCD enzyme subunit RecD	97	97	100.0	core	1491
recF	recF	DNA replication and repair protein RecF	97	97	100.0	core	1098
recJ	recJ	Single-stranded-DNA-specific exonuclease RecJ	97	97	100.0	core	1755
recO	recO	DNA repair protein RecO	97	97	100.0	core	747
recR	recR	Recombination protein RecR	97	97	100.0	core	603
rho	rho	Transcription termination factor Rho	97	97	100.0	core	1395
ribBA	ribBA	Riboflavin biosynthesis protein RibBA	97	97	100.0	core	1275
ribC	ribC	Riboflavin synthase	97	97	100.0	core	600
ribD	ribD	Riboflavin biosynthesis protein RibD	97	97	100.0	core	1128
ribF	ribF	Bifunctional riboflavin kinase/FMN adenylyltransferase	97	97	100.0	core	924
ribH	ribH	67-dimethyl-8-ribityllumazine synthase	97	97	100.0	core	474
rlmCD	rlmCD	23S rRNA (uracil-C(5))-methyltransferase RlmCD	97	97	100.0	core	1191
rlmL	rlmL	Ribosomal RNA large subunit methyltransferase K/L	97	97	100.0	core	828
rluB	;rluB	hypothetical protein;Ribosomal large subunit pseudouridine synthase B	97	97	100.0	core	813
rluC	rluC	Ribosomal large subunit pseudouridine synthase C	97	97	100.0	core	912
rluD	rluD	Ribosomal large subunit pseudouridine synthase D	97	97	100.0	core	1008
rnc	rnc	Ribonuclease 3	97	97	100.0	core	696
rng	rng	Ribonuclease G	97	97	100.0	core	1539
rnhB	rnhB	Ribonuclease HII	97	97	100.0	core	654
rnhC	rnhC	Ribonuclease HIII	97	97	100.0	core	903
rnpA	rnpA	Ribonuclease P protein component	97	97	100.0	core	363
rnr	rnr	Ribonuclease R	97	97	100.0	core	2085
rnz	rnz	Ribonuclease Z	97	97	100.0	core	915
rpe	rpe	Ribulose-phosphate 3-epimerase	97	97	100.0	core	687
rpiA	rpiA	Ribose-5-phosphate isomerase A	97	97	100.0	core	1164
rplA	rplA	50S ribosomal protein L1	97	97	100.0	core	699
rplB	rplB	50S ribosomal protein L2	97	97	100.0	core	855
rplC	rplC	50S ribosomal protein L3	97	97	100.0	core	666
rplD	rplD	50S ribosomal protein L4	97	97	100.0	core	669
rplE	rplE	50S ribosomal protein L5	97	97	100.0	core	543
rplF	rplF	50S ribosomal protein L6	97	97	100.0	core	552
rplI	rplI	50S ribosomal protein L9	97	97	100.0	core	504
rplJ	rplJ	50S ribosomal protein L10	97	97	100.0	core	519
rplK	rplK	50S ribosomal protein L11	97	97	100.0	core	426
rplL	rplL	50S ribosomal protein L7/L12	97	97	100.0	core	393
rplM	rplM	50S ribosomal protein L13	97	97	100.0	core	453
rplN	rplN	50S ribosomal protein L14	97	97	100.0	core	369
rplO	rplO	50S ribosomal protein L15	97	97	100.0	core	435
rplP	rplP	50S ribosomal protein L16	97	97	100.0	core	417
rplQ	rplQ	50S ribosomal protein L17	97	97	100.0	core	426
rplR	rplR	50S ribosomal protein L18	97	97	100.0	core	372
rplS	rplS	50S ribosomal protein L19	97	97	100.0	core	366
rplT	rplT	50S ribosomal protein L20	97	97	100.0	core	372
rplU	rplU	50S ribosomal protein L21	97	97	100.0	core	324
rplV	rplV	50S ribosomal protein L22	97	97	100.0	core	336
rplW	rplW	50S ribosomal protein L23	97	97	100.0	core	336
rplY	rplY;	50S ribosomal protein L25;hypothetical protein	97	97	100.0	core	558
rpmA	rpmA	50S ribosomal protein L27	97	97	100.0	core	252
rpmB	rpmB	50S ribosomal protein L28	97	97	100.0	core	270
rpmF	rpmF	50S ribosomal protein L32	97	97	100.0	core	180
rpmG	;rpmG	hypothetical protein;50S ribosomal protein L33	97	97	100.0	core	159
rpmI	rpmI	50S ribosomal protein L35	97	97	100.0	core	195
rpoA	rpoA	DNA-directed RNA polymerase subunit alpha	97	97	100.0	core	1134
rpoB	rpoB	DNA-directed RNA polymerase subunit beta	97	97	100.0	core	3759
rpoC	rpoC	DNA-directed RNA polymerase subunit beta'	97	97	100.0	core	4191
rpoN	rpoN	RNA polymerase sigma-54 factor	97	97	100.0	core	1311
rpsA	rpsA	30S ribosomal protein S1	97	97	100.0	core	1710
rpsB	rpsB;	30S ribosomal protein S2;hypothetical protein	97	97	100.0	core	855
rpsC	rpsC	30S ribosomal protein S3	97	97	100.0	core	675
rpsD	rpsD	30S ribosomal protein S4	97	97	100.0	core	630
rpsE	rpsE	30S ribosomal protein S5	97	97	100.0	core	498
rpsF	rpsF	30S ribosomal protein S6	97	97	100.0	core	339
rpsG	rpsG	30S ribosomal protein S7	97	97	100.0	core	474
rpsH_2~~~rpsH_1~~~rpsH	rpsH_2;rpsH_1;rpsH	30S ribosomal protein S8	97	97	100.0	core	402
rpsI	rpsI	30S ribosomal protein S9	97	97	100.0	core	390
rpsJ	rpsJ	30S ribosomal protein S10	97	97	100.0	core	327
rpsK	rpsK	30S ribosomal protein S11	97	97	100.0	core	399
rpsL	rpsL	30S ribosomal protein S12	97	97	100.0	core	372
rpsM	rpsM	30S ribosomal protein S13	97	97	100.0	core	369
rpsN2	rpsN2	Alternate 30S ribosomal protein S14	97	97	100.0	core	306
rpsO	rpsO	30S ribosomal protein S15	97	97	100.0	core	270
rpsQ	rpsQ	30S ribosomal protein S17	97	97	100.0	core	252
rpsR	rpsR	30S ribosomal protein S18	97	97	100.0	core	246
rpsS	rpsS	30S ribosomal protein S19	97	97	100.0	core	267
rsbV	rsbV	Anti-sigma-B factor antagonist	97	97	100.0	core	333
rsbW	rsbW	Serine-protein kinase RsbW	97	97	100.0	core	441
rsfS	rsfS	Ribosomal silencing factor RsfS	97	97	100.0	core	360
rsmA	rsmA	Ribosomal RNA small subunit methyltransferase A	97	97	100.0	core	834
rsmB	;rsmB	hypothetical protein;Ribosomal RNA small subunit methyltransferase B	97	97	100.0	core	1107
rsmD	rsmD	Ribosomal RNA small subunit methyltransferase D	97	97	100.0	core	576
rsmH	rsmH	Ribosomal RNA small subunit methyltransferase H	97	97	100.0	core	903
rsmI	rsmI	Ribosomal RNA small subunit methyltransferase I	97	97	100.0	core	714
ruvA	ruvA	Holliday junction ATP-dependent DNA helicase RuvA	97	97	100.0	core	603
ruvB	ruvB	Holliday junction ATP-dependent DNA helicase RuvB	97	97	100.0	core	1005
ruvC	ruvC	Crossover junction endodeoxyribonuclease RuvC	97	97	100.0	core	513
sctC_1	sctC_1	Type 3 secretion system secretin	97	97	100.0	core	2283
secA	secA	Protein translocase subunit SecA	97	97	100.0	core	2910
secD~~~secDF	secD;secDF	Protein translocase subunit SecD;Protein translocase subunit SecDF	97	97	100.0	core	4203
secE	secE	Protein translocase subunit SecE	97	97	100.0	core	249
secY	secY	Protein translocase subunit SecY	97	97	100.0	core	1374
serS	serS	Serine--tRNA ligase	97	97	100.0	core	1287
sigA	sigA	RNA polymerase sigma factor SigA	97	97	100.0	core	1710
sigD	sigD	RNA polymerase sigma-D factor	97	97	100.0	core	762
smpB	smpB	SsrA-binding protein	97	97	100.0	core	456
sodA	sodA	Superoxide dismutase [Mn]	97	97	100.0	core	621
soj	soj	Sporulation initiation inhibitor protein Soj	97	97	100.0	core	768
spo0J	spo0J	Stage 0 sporulation protein J	97	97	100.0	core	846
ssaN	ssaN	putative secretion system apparatus ATP synthase SsaN	97	97	100.0	core	1305
stp	stp	Serine/threonine phosphatase stp	97	97	100.0	core	747
sucC	sucC	Succinate--CoA ligase [ADP-forming] subunit beta	97	97	100.0	core	1161
sucD	;sucD	hypothetical protein;Succinate--CoA ligase [ADP-forming] subunit alpha	97	97	100.0	core	876
sufB	sufB	FeS cluster assembly protein SufB	97	97	100.0	core	1452
sufC	sufC	putative ATP-dependent transporter SufC	97	97	100.0	core	768
surE	surE	5'-nucleotidase SurE	97	97	100.0	core	852
tadA	tadA	tRNA-specific adenosine deaminase	97	97	100.0	core	531
tal	tal	Transaldolase	97	97	100.0	core	984
tarP	tarP;	Translocated actin-recruiting phosphoprotein;hypothetical protein	97	97	100.0	core	3486
tgt	tgt	Queuine tRNA-ribosyltransferase	97	97	100.0	core	1119
thrZ	thrZ	Threonine--tRNA ligase 2	97	97	100.0	core	1908
thyX	thyX	Flavin-dependent thymidylate synthase	97	97	100.0	core	1590
tig	tig	Trigger factor	97	97	100.0	core	1329
tilS	tilS	tRNA(Ile)-lysidine synthase	97	97	100.0	core	966
tkt	tkt	Transketolase	97	97	100.0	core	2001
tlcA_1	tlcA_1	ADPATP carrier protein 1	97	97	100.0	core	1587
tlcA_2	tlcA_2	ADPATP carrier protein 1	97	97	100.0	core	1623
tmk	tmk	Thymidylate kinase	97	97	100.0	core	612
tolB	tolB	Tol-Pal system protein TolB	97	97	100.0	core	1296
topA	topA	DNA topoisomerase 1	97	97	100.0	core	2574
tpiA	tpiA	Triosephosphate isomerase	97	97	100.0	core	825
trmD	trmD	tRNA (guanine-N(1)-)-methyltransferase	97	97	100.0	core	1059
trmL	trmL	tRNA (cytidine(34)-2'-O)-methyltransferase	97	97	100.0	core	456
