accession	paired_genbank	assembly_name	organism_name	strain	isolate	serovar	biosample	bioproject	bioproject_all	bioproject_titles	submitter	release_date	sequencing_tech	assembly_method	assembly_level	assembly_status	source_database	total_length	gc_percent	n_contigs	n_chromosomes	collection_date	geo_loc_name	host	isolation_source	host_disease	ani_status	ani_match	checkm_completeness	checkm_contamination	biosample_text	tier	auto_verdict	weak_notes
GCF_000318825.1	GCA_000318825.1	ASM31882v1	Chlamydia trachomatis L1/440/LN	L1/440/LN			SAMEA2272273	PRJEA71099	PRJEA71099	Chlamydia trachomatis L1/440/LN genome sequencing	Sanger Institute	2012-03-13			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1039261	41.5	1	1						OK	species_match	98.44	1.73	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2272273; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:21Z; INSDC last update=2013-12-09T15:23:57Z; INSDC status=public; strain=L1/440/LN; Submitter Id=GCA_000318825; broker name=European Nucleotide Archive; individual_name=GCA_000318825; sample_name=GCA_000318825; title=BioSample entry for genome collection GCA_000318825; comments=Data release policy http://www.sanger.ac.uk/legal/#t_2 The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host) || duplicate_strain_name
GCF_000318845.1	GCA_000318845.1	ASM31884v1	Chlamydia trachomatis L1/115	L1/115			SAMEA2271978	PRJEA71101	PRJEA71101	Chlamydia trachomatis L1/115 genome sequencing	Sanger Institute	2012-03-13			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1046584	41.5	2	2						OK	species_match	98.93	1.73	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2271978; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:22Z; INSDC last update=2013-12-09T15:23:48Z; INSDC status=public; strain=L1/115; Submitter Id=GCA_000318845; broker name=European Nucleotide Archive; individual_name=GCA_000318845; sample_name=GCA_000318845; title=BioSample entry for genome collection GCA_000318845; comments=Data release policy http://www.sanger.ac.uk/legal/#t_2 The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000318865.1	GCA_000318865.1	ASM31886v1	Chlamydia trachomatis L1/224	L1/224			SAMEA2272374	PRJEA71103	PRJEA71103	Chlamydia trachomatis L1/224 genome sequencing	Sanger Institute	2012-03-13			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1046319	41.5	2	2						OK	species_match	98.93	1.73	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2272374; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:22Z; INSDC last update=2013-12-09T15:24:00Z; INSDC status=public; strain=L1/224; Submitter Id=GCA_000318865; broker name=European Nucleotide Archive; individual_name=GCA_000318865; sample_name=GCA_000318865; title=BioSample entry for genome collection GCA_000318865; comments=Data release policy http://www.sanger.ac.uk/legal/#t_2 The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000318885.1	GCA_000318885.1	ASM31888v1	Chlamydia trachomatis L2/25667R	L2/25667R		L2	SAMEA767949	PRJEA71105	PRJEA71105	Chlamydia trachomatis L2/25667R genome sequencing	Sanger Institute	2012-03-13			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1038839	41.5	1	1		USA	Homo sapiens	Rectum		OK	species_match	98.93	1.73	ENA-FIRST-PUBLIC=2010-03-05T11:05:58Z; ENA-LAST-UPDATE=2018-03-09T09:52:16Z; External Id=SAMEA767949; INSDC center name=SC; INSDC first public=2010-03-05T11:05:58Z; INSDC last update=2018-03-09T09:52:16Z; INSDC status=public; Submitter Id=L2P_-sc-2010-05-07-7667; geo_loc_name=USA; isolation_source=Rectum; pubmed id=22406642; sample_name=L2P_-sc-2010-05-07-7667; scientific_name=Chlamydia trachomatis; serovar=L2; host=Homo sapiens; strain=L2/25667R; title=Sample from Chlamydia trachomatis; comments=Data release policy http://www.sanger.ac.uk/legal/#t_2 The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	
GCF_000318905.1	GCA_000318905.1	ASM31890v1	Chlamydia trachomatis L2b/8200/07	L2b/8200/07			SAMEA2272637	PRJEA71107	PRJEA71107	Chlamydia trachomatis L2b/8200/07 genome sequencing	Sanger Institute	2012-03-13			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1046364	41.5	2	2						OK	species_match	98.93	1.73	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2272637; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:22Z; INSDC last update=2013-12-09T15:24:08Z; INSDC status=public; strain=L2b/8200/07; Submitter Id=GCA_000318905; broker name=European Nucleotide Archive; individual_name=GCA_000318905; sample_name=GCA_000318905; title=BioSample entry for genome collection GCA_000318905; comments=Data release policy http://www.sanger.ac.uk/legal/#t_2 The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000318925.1	GCA_000318925.1	ASM31892v1	Chlamydia trachomatis L2b/UCH-2	L2b/UCH-2			SAMEA2272096	PRJEA71109	PRJEA71109	Chlamydia trachomatis L2b/UCH-2 genome sequencing	Sanger Institute	2012-03-13			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1046337	41.5	2	2						OK	species_match	98.93	1.73	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2272096; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:22Z; INSDC last update=2013-12-09T15:23:51Z; INSDC status=public; strain=L2b/UCH-2; Submitter Id=GCA_000318925; broker name=European Nucleotide Archive; individual_name=GCA_000318925; sample_name=GCA_000318925; title=BioSample entry for genome collection GCA_000318925; comments=Data release policy http://www.sanger.ac.uk/legal/#t_2 The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000318985.1	GCA_000318985.1	ASM31898v1	Chlamydia trachomatis L2b/795	L2b/795			SAMEA2272281	PRJEA71115	PRJEA71115	Chlamydia trachomatis L2b/795 genome sequencing	Sanger Institute	2012-03-13			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1046220	41.5	2	2						OK	species_match	98.93	1.73	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2272281; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:21Z; INSDC last update=2013-12-09T15:23:57Z; INSDC status=public; strain=L2b/795; Submitter Id=GCA_000318985; broker name=European Nucleotide Archive; individual_name=GCA_000318985; sample_name=GCA_000318985; title=BioSample entry for genome collection GCA_000318985; comments=Data release policy http://www.sanger.ac.uk/legal/#t_2 The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000319105.1	GCA_000319105.1	ASM31910v1	Chlamydia trachomatis L3/404/LN	L3/404/LN			SAMEA2272107	PRJEA71127	PRJEA71127	Chlamydia trachomatis L3/404/LN genome sequencing	Sanger Institute	2012-03-13			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1046672	41.5	2	2						OK	species_match	98.93	1.73	ENA-CHECKLIST=ERC000011; ENA-FIRST-PUBLIC=2013-12-19; ENA-LAST-UPDATE=2013-12-09; External Id=SAMEA2272107; INSDC center alias=EBI; INSDC center name=European Bioinformatics Institute; INSDC first public=2013-12-19T12:09:22Z; INSDC last update=2013-12-09T15:23:52Z; INSDC status=public; strain=L3/404/LN; Submitter Id=GCA_000319105; broker name=European Nucleotide Archive; individual_name=GCA_000319105; sample_name=GCA_000319105; title=BioSample entry for genome collection GCA_000319105; comments=Data release policy http://www.sanger.ac.uk/legal/#t_2 The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host) || duplicate_strain_name
GCF_000364765.1	GCA_000364765.1	ASM36476v1	Chlamydia trachomatis L2/434/Bu(i)	L2/434/Bu(i)			SAMN02603648	PRJNA182150	PRJNA182150	Chlamydia trachomatis L2/434/Bu(i) Genome sequencing	National Institute of Health, Portugal	2013-04-15			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1046341	41.5	2	2						OK	species_match	98.93	1.73	strain=L2/434/Bu(i); title=Sample from Chlamydia trachomatis L2/434/Bu(i); comments=Bacteria available from National Institute of Health, Department of Infectious Diseases, Av. Padre Cruz, 1649-016 - Lisbon, Portugal. E-mail: j.paulo.gomes@insa.min-saude.pt The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host) || name_qualifier_in_parentheses
GCF_000364785.1	GCA_000364785.1	ASM36478v1	Chlamydia trachomatis L2/434/Bu(f)	L2/434/Bu(f)			SAMN02603649	PRJNA182165	PRJNA182165	Chlamydia trachomatis L2/434/Bu(f) Genome sequencing	National Institute of Health, Portugal	2013-04-15			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1046341	41.5	2	2						OK	species_match	98.93	1.73	strain=L2/434/Bu(f); title=Sample from Chlamydia trachomatis L2/434/Bu(f); comments=Bacteria available from National Institute of Health, Department of Infectious Diseases, Av. Padre Cruz, 1649-016 - Lisbon, Portugal. E-mail: j.paulo.gomes@insa.min-saude.pt The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host) || name_qualifier_in_parentheses
GCF_000441585.1	GCA_000441585.1	ASM44158v1	Chlamydia trachomatis RC-F/69	RC-F/69			SAMN02603697	PRJNA53845	PRJNA53845	Chlamydia trachomatis RC-F69 genome sequencing	Oregon State University	2013-07-26			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1046087	41.5	1	1						OK	species_match	98.72	1.73	strain=RC-F/69; title=Sample from Chlamydia trachomatis RC-F/69; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000441615.1	GCA_000441615.1	ASM44161v1	Chlamydia trachomatis RC-L2(s)/46	RC-L2(s)/46			SAMN02603698	PRJNA53847	PRJNA53847	Chlamydia trachomatis RC-L2s46 genome sequencing	Oregon State University	2013-07-26			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1038817	41.5	1	1						OK	species_match	98.93	1.73	strain=RC-L2(s)/46; title=Sample from Chlamydia trachomatis RC-L2(s)/46; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host) || name_qualifier_in_parentheses
GCF_000441635.1	GCA_000441635.1	ASM44163v1	Chlamydia trachomatis RC-F(s)/852	RC-F(s)/852			SAMN02603699	PRJNA53849	PRJNA53849	Chlamydia trachomatis RC-Fs852 genome sequencing	Oregon State University	2013-07-26			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1083893	41.5	1	1						OK	species_match	98.72	7.15	strain=RC-F(s)/852; title=Sample from Chlamydia trachomatis RC-F(s)/852; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	quality_review	REVIEW	sparse_metadata (no collection date, location or host) || name_qualifier_in_parentheses
GCF_000441655.1	GCA_000441655.1	ASM44165v1	Chlamydia trachomatis RC-J/943	RC-J/943			SAMN02603700	PRJNA53851	PRJNA53851	Chlamydia trachomatis RC-J943 genome sequencing	Oregon State University	2013-07-26			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1038797	41.5	1	1						OK	species_match	98.93	1.73	strain=RC-J/943; title=Sample from Chlamydia trachomatis RC-J/943; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000441675.1	GCA_000441675.1	ASM44167v1	Chlamydia trachomatis RC-J/953	RC-J/953			SAMN02603701	PRJNA53853	PRJNA53853	Chlamydia trachomatis RC-J/953 strain:RC-J953 Phenotype or Genotype	Oregon State University	2013-07-26			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1038792	41.5	1	1						OK	species_match	98.88	1.73	strain=RC-J/953; title=Sample from Chlamydia trachomatis RC-J/953; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000441695.1	GCA_000441695.1	ASM44169v1	Chlamydia trachomatis RC-L2(s)/3	RC-L2(s)/3			SAMN02603702	PRJNA53855	PRJNA53855	Chlamydia trachomatis RC-L2(s)/3 strain:RC-JL2s3 Phenotype or Genotype	Oregon State University	2013-07-26			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1046171	41.5	1	1						OK	species_match	98.93	1.73	strain=RC-L2(s)/3; title=Sample from Chlamydia trachomatis RC-L2(s)/3; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host) || name_qualifier_in_parentheses
GCF_000441715.1	GCA_000441715.1	ASM44171v1	Chlamydia trachomatis RC-F(s)/342	RC-F(s)/342			SAMN02603703	PRJNA53857	PRJNA53857	Chlamydia trachomatis RC-F(s)/342 strain:RC-Fs342 Phenotype or Genotype	Oregon State University	2013-07-26			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1083842	41.5	1	1						OK	species_match	98.64	7.15	strain=RC-F(s)/342; title=Sample from Chlamydia trachomatis RC-F(s)/342; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	quality_review	REVIEW	sparse_metadata (no collection date, location or host) || name_qualifier_in_parentheses
GCF_000441735.1	GCA_000441735.1	ASM44173v1	Chlamydia trachomatis RC-J(s)/122	RC-J(s)/122			SAMN02603704	PRJNA53859	PRJNA53859	Chlamydia trachomatis RC-Js122 genome sequencing	Oregon State University	2013-07-26			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1061854	41.5	1	1						OK	species_match	98.93	1.79	strain=RC-J(s)/122; title=Sample from Chlamydia trachomatis RC-J(s)/122; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host) || name_qualifier_in_parentheses
GCF_000441755.1	GCA_000441755.1	ASM44175v1	Chlamydia trachomatis RC-J/966	RC-J/966			SAMN02603705	PRJNA53861	PRJNA53861	Chlamydia trachomatis RC-J966 genome sequencing	Oregon State University	2013-07-26			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1038839	41.5	1	1						OK	species_match	98.88	1.73	strain=RC-J/966; title=Sample from Chlamydia trachomatis RC-J/966; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000441795.1	GCA_000441795.1	ASM44179v1	Chlamydia trachomatis RC-J/971	RC-J/971			SAMN02603707	PRJNA66011	PRJNA66011	Chlamydia trachomatis RC-J/971 genome sequencing project.	Oregon State University	2013-07-26			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1038442	41.5	1	1						OK	species_match	98.88	2.22	strain=RC-J/971; title=Sample from Chlamydia trachomatis RC-J/971; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000441815.1	GCA_000441815.1	ASM44181v1	Chlamydia trachomatis RC-L2/55	RC-L2/55			SAMN02603708	PRJNA66013	PRJNA66013	Chlamydia trachomatis RC-L2/55 genome sequencing project.	Oregon State University	2013-07-26			Complete Genome	current	SOURCE_DATABASE_REFSEQ	1038870	41.5	1	1						OK	species_match	98.93	1.73	strain=RC-L2/55; title=Sample from Chlamydia trachomatis RC-L2/55; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	sparse_metadata (no collection date, location or host)
GCF_000507225.1	GCA_000507225.1	ASM50722v1	Chlamydia trachomatis C/TW-3	C/TW-3			SAMN02641532	PRJNA230246	PRJNA230246	Complete genome sequence of Chlamydia trachomatis serovar C strain C/TW-3	National Institute of Health, Portugal	2013-12-13	Illumina	BOWTIE v. Version 2.1.0	Complete Genome	current	SOURCE_DATABASE_REFSEQ	1051055	41.5	2	2	missing	missing	missing	missing	missing	OK	species_match	98.84	2.22	strain=C/TW-3; geo_loc_name=missing; collected_by=missing; isolation_source=missing; host=missing; host_disease=missing; collection_date=missing; culture_collection=ATCC:VR-1477; lat_lon=missing; title=Pathogen: clinical or host-associated sample from Chlamydia trachomatis C/TW-3; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	
GCF_000590575.1	GCA_000590575.1	ASM59057v1	Chlamydia trachomatis	F/1-93	missing	F	SAMN02189829	PRJNA213111	PRJNA213111	Chlamydia trachomatis Phenotype or Genotype	Oregon State University	2013-08-21	Illumina HiSeq	Maq v. 0.7.1	Complete Genome	current	SOURCE_DATABASE_REFSEQ	1042588	41.5	1	1	1993-04-10	USA: Washington	Homo sapiens	endo-cervical swab		OK	species_match	98.7	2.22	label=F/1-93; lat_lon=47.6097 N 122.3331 W; collected_by=University of Washington; collection_date=1993-04-10; isolate=missing; geo_loc_name=USA: Washington; isolation_source=endo-cervical swab; serovar=F; host=Homo sapiens; title=Pathogen sample from Chlamydia trachomatis; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	
GCF_000590615.1	GCA_000590615.1	ASM59061v1	Chlamydia trachomatis	F/6-94	missing	F	SAMN02189831	PRJNA213111	PRJNA213111	Chlamydia trachomatis Phenotype or Genotype	Oregon State University	2013-08-21	Illumina HiSeq	Maq v. 0.7.1	Complete Genome	current	SOURCE_DATABASE_REFSEQ	1042767	41.5	1	1	1994-09-29	USA: Washington	Homo sapiens	endo-cervical swab		OK	species_match	98.82	2.22	label=F/6-94; lat_lon=47.6097 N 122.3331 W; collected_by=University of Washington; collection_date=1994-09-29; isolate=missing; geo_loc_name=USA: Washington; isolation_source=endo-cervical swab; serovar=F; host=Homo sapiens; title=Pathogen sample from Chlamydia trachomatis; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	
GCF_000590635.1	GCA_000590635.1	ASM59063v1	Chlamydia trachomatis F/11-96	F/11-96		F	SAMN02189832	PRJNA213111	PRJNA213111	Chlamydia trachomatis Phenotype or Genotype	Oregon State University	2013-08-21	Illumina HiSeq	Maq v. 0.7.1	Complete Genome	current	SOURCE_DATABASE_REFSEQ	1042853	41.5	1	1	1996-03-17	USA: Washington	Homo sapiens	endo-cervical swab		OK	species_match	98.86	2.22	label=F/11-96; lat_lon=47.6097 N 122.3331 W; collected_by=University of Washington; collection_date=1996-03-17; geo_loc_name=USA: Washington; isolation_source=endo-cervical swab; serovar=F; host=Homo sapiens; strain=F/11-96; title=Pathogen sample from Chlamydia trachomatis; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	
GCF_000590675.1	GCA_000590675.1	ASM59067v1	Chlamydia trachomatis	D/13-96	missing	D	SAMN02189834	PRJNA213111	PRJNA213111	Chlamydia trachomatis Phenotype or Genotype	Oregon State University	2013-08-21	Illumina HiSeq	Maq v. 0.7.1	Complete Genome	current	SOURCE_DATABASE_REFSEQ	1042752	41.5	1	1	1996-03-21	USA: Washington	Homo sapiens	endo-cervical swab		OK	species_match	98.86	2.22	label=D/13-96; lat_lon=47.6097 N 122.3331 W; collected_by=University of Washington; collection_date=1996-03-21; isolate=missing; geo_loc_name=USA: Washington; isolation_source=endo-cervical swab; serovar=D; host=Homo sapiens; title=Pathogen sample from Chlamydia trachomatis; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	
GCF_000590755.1	GCA_000590755.1	ASM59075v1	Chlamydia trachomatis	J/31-98	missing	J	SAMN02189838	PRJNA213111	PRJNA213111	Chlamydia trachomatis Phenotype or Genotype	Oregon State University	2013-08-21	Illumina HiSeq	Maq v. 0.7.1	Complete Genome	current	SOURCE_DATABASE_REFSEQ	1043207	41.5	1	1	1998-01-02	USA: Washington	Homo sapiens	endo-cervical swab		OK	species_match	98.88	2.22	label=J/31-98; lat_lon=47.6097 N 122.3331 W; collected_by=University of Washington; collection_date=1998-01-02; isolate=missing; geo_loc_name=USA: Washington; isolation_source=endo-cervical swab; serovar=J; host=Homo sapiens; title=Pathogen sample from Chlamydia trachomatis; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	
GCF_000971705.1	GCA_000971705.1	ASM97170v1	Chlamydia trachomatis	L2b/CS19/08			SAMN03195884	PRJNA266925	PRJNA266925	Genetic diversity among Chlamydia trachomatis lymphogranuloma venereum isolates - strain L2b/CS19/08	National Institute of Health, Portugal	2015-04-13	Illumina	Bowtie2 v. 2.1.0; BWA v. 0.7.5a	Complete Genome	current	SOURCE_DATABASE_REFSEQ	1046364	41.5	2	2	2008	Portugal:Lisbon	Homo sapiens	Portugal:Lisbon	LGV proctitis	OK	species_match	98.93	1.73	strain=L2b/CS19/08; collected_by=National Institute of Health, Portugal; collection_date=2008; geo_loc_name=Portugal:Lisbon; host=Homo sapiens; host_disease=LGV proctitis; isolation_source=Portugal:Lisbon; lat_lon=38.765337 N 9.164366 W; genotype=L2b; title=Genetic diversity among Chlamydia trachomatis lymphogranuloma venereum isolates - strain L2b/CS19/08; comments=Source DNA is available from National Institute of Heath, Portugal; Av. Padre Cruz, 1649-016 Lisbon, Portugal; Address correspondence to Joao P. Gomes: j.paulo.gomes@insa.min-saude.pt The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	
GCF_000971725.1	GCA_000971725.1	ASM97172v1	Chlamydia trachomatis	L2b/CS784/08			SAMN03195889	PRJNA266926	PRJNA266926	Genetic diversity among Chlamydia trachomatis lymphogranuloma venereum isolates - strain L2b/CS784/08	National Institute of Health, Portugal	2015-04-13	Illumina	Bowtie2 v. 2.1.0; BWA v. 0.7.5a	Complete Genome	current	SOURCE_DATABASE_REFSEQ	1046364	41.5	2	2	2008	Portugal:Lisbon	Homo sapiens	Portugal:Lisbon	LGV proctitis	OK	species_match	98.93	1.73	strain=L2b/CS784/08; collected_by=National Institute of Health, Portugal; collection_date=2008; geo_loc_name=Portugal:Lisbon; host=Homo sapiens; host_disease=LGV proctitis; isolation_source=Portugal:Lisbon; lat_lon=38.765337 N 9.164366 W; genotype=L2b; title=Genetic diversity among Chlamydia trachomatis lymphogranuloma venereum isolates - strain L2b/CS784/08; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	primary	INCLUDE	
GCF_001183765.1	GCA_001183765.1	ASM118376v1	Chlamydia trachomatis D/CS637/11	D/CS637/11			SAMN03890858	PRJNA234355	PRJNA234355	Laboratory adaptation of Chlamydia trachomatis	National Institute of Health, Portugal	2015-07-21	Illumina	Bowtie v. 2.1.0	Complete Genome	current	SOURCE_DATABASE_REFSEQ	1050173	41.5	2	2						OK	species_match	99.02	2.22	strain=D/CS637/11; title=Sample from Chlamydia trachomatis D/CS637/11; comments=The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/	quality_review	REVIEW	sparse_metadata (no collection date, location or host)
GCF_001183805.1	GCA_001183805.1	ASM118380v1	Chlamydia trachomatis	E/CS1025/11			SAMN03290707	PRJNA234355	PRJNA234355	Laboratory adaptation of Chlamydia trachomatis	National Institute of Health, Portugal	2015-07-21	Illumina	Bowtie2 v. 2.1.0; BWA v. 0.7.5.a	Complete Genome	current	SOURCE_DATABASE_REFSEQ	1050536	41.5	2	2	2011	Portugal:Lisbon	Homo sapiens	missing	missing	OK	species_match	98.67	2.22	strain=E/CS1025/11; collected_by=National Institute of Health; collection_date=2011; geo_loc_name=Portugal:Lisbon; host=Homo sapiens; host_disease=missing; isolation_source=missing; lat_lon=not collected; title=Laboratory adaptation of Chlamydia trachomatis - strain E/CS1025/11; comments=Source bacteria/DNA is available from National Institute of Heath, Portugal; Av. Padre Cruz, 1649-016 Lisbon, Portugal; Address correspondence to Joao P. Gomes (j.paulo.gomes@insa.min-saude.pt) The annotation was added by the NCBI Prokaryotic Genome Annotation Pipeline (PGAP). Information about PGAP can be found here: https://www.ncbi.nlm.nih.gov/genome/annotation_prok/  Annotation modified by submitter	quality_review	REVIEW	
