gene	gene_name	annotation	n_primary_genomes	avg_copies	length	genus_any_maxgap	genus_any_n150	clinical_any_maxgap	clinical_any_n150	all_any_maxgap	all_any_n150	all_any_coords	genus_id85_maxgap	genus_id85_n150	clinical_id85_maxgap	clinical_id85_n150	all_id85_maxgap	all_id85_n150	all_id85_coords	n_species_genus	n_species_clinical
rluD	rluD	Ribosomal large subunit pseudouridine synthase D	97	1.00	1008	4	0	535	2	4	0	1-4	1008	1	535	2	535	2	474-1008	10	3
group_324		hypothetical protein	97	1.00	390	3	0	390	1	3	0	388-390	3	0	390	1	3	0	388-390	10	0
rbn	rbn	Ribonuclease BN	97	1.00	828	3	0	828	1	3	0	826-828	828	1	828	1	828	1	1-828	10	0
rplQ	rplQ	50S ribosomal protein L17	97	1.00	426	3	0	243	1	3	0	424-426	3	0	243	1	3	0	424-426	10	1
dnaA_2~~~dnaA_3	dnaA_2;dnaA_3	Chromosomal replication initiator protein DnaA	97	1.01	1413	2	0	630	3	2	0	1-2	2	0	1182	2	2	0	1-2	10	2
dnaG	dnaG	DNA primase	97	1.00	1788	2	0	1566	1	2	0	1787-1788	1788	1	1788	1	1788	1	1-1788	10	1
fabH	fabH	3-oxoacyl-[acyl-carrier-protein] synthase 3	97	1.00	1026	2	0	867	1	2	0	1-2	1026	1	1026	1	1026	1	1-1026	10	1
fbiB	fbiB	Bifunctional F420 biosynthesis protein FbiB	97	1.00	732	2	0	732	1	2	0	731-732	732	1	732	1	732	1	1-732	9	0
ftsY	ftsY	Signal recognition particle receptor FtsY	97	1.00	855	2	0	855	1	2	0	854-855	855	1	855	1	855	1	1-855	10	0
group_119		hypothetical protein	97	1.00	996	2	0	996	1	2	0	995-996	996	1	996	1	996	1	1-996	8	0
group_138		hypothetical protein	97	1.00	870	2	0	870	1	2	0	869-870	870	1	870	1	870	1	1-870	10	0
group_175		hypothetical protein	97	1.00	648	2	0	648	1	2	0	647-648	2	0	648	1	2	0	647-648	10	0
group_211		hypothetical protein	97	1.00	483	2	0	483	1	2	0	482-483	483	1	483	1	483	1	1-483	10	0
group_22		hypothetical protein	97	1.07	570	2	0	570	1	2	0	1-2	570	1	570	1	570	1	1-570	9	0
group_225		hypothetical protein	97	1.00	447	2	0	447	1	2	0	446-447	447	1	447	1	447	1	1-447	7	0
group_302		hypothetical protein	97	1.00	150	2	0	150	1	2	0	1-2	2	0	150	1	2	0	1-2	3	0
group_309		hypothetical protein	97	1.00	384	2	0	384	1	2	0	1-2	384	1	384	1	384	1	1-384	2	0
group_315		hypothetical protein	97	1.00	2481	2	0	2481	1	2	0	1-2	2481	1	2481	1	2481	1	1-2481	2	0
group_323		GTP cyclohydrolase 1 type 2	97	1.00	756	2	0	756	1	2	0	755-756	756	1	756	1	756	1	1-756	10	0
group_53		hypothetical protein	97	1.00	1950	2	0	1950	1	2	0	1949-1950	1950	1	1950	1	1950	1	1-1950	10	0
group_81		hypothetical protein	97	1.00	1353	2	0	1353	1	2	0	1352-1353	1353	1	1353	1	1353	1	1-1353	10	0
gyrA_2	gyrA_2	DNA gyrase subunit A	97	1.00	1473	2	0	1473	1	2	0	1472-1473	1473	1	1473	1	1473	1	1-1473	10	0
hflX	hflX	GTPase HflX	97	1.00	1344	2	0	690	2	2	0	1343-1344	1344	1	1344	1	1344	1	1-1344	10	2
ispE	ispE	Putative 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	97	1.00	870	2	0	870	1	2	0	869-870	870	1	870	1	870	1	1-870	5	0
lgt	lgt	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase	97	1.00	819	2	0	819	1	2	0	818-819	670	1	819	1	670	1	1-670	8	0
rpsI	rpsI	30S ribosomal protein S9	97	1.00	390	2	0	300	1	2	0	1-2	2	0	390	1	2	0	1-2	10	2
rsmH	rsmH	Ribosomal RNA small subunit methyltransferase H	97	1.00	903	2	0	903	1	2	0	902-903	903	1	903	1	903	1	1-903	10	0
rsmI	rsmI	Ribosomal RNA small subunit methyltransferase I	97	1.00	714	2	0	714	1	2	0	713-714	714	1	714	1	714	1	1-714	8	0
truB	;truB	hypothetical protein;tRNA pseudouridine synthase B	97	1.01	726	2	0	573	1	2	0	725-726	2	0	726	1	2	0	725-726	10	1
tsaD	tsaD	tRNA N6-adenosine threonylcarbamoyltransferase	97	1.00	1017	2	0	484	2	2	0	1016-1017	1017	1	1017	1	1017	1	1-1017	10	2
aaxC_1~~~aaxC_2~~~aaxC_3~~~aaxC	;aaxC_1;aaxC_2;aaxC_3;aaxC	hypothetical protein;Arginine/agmatine antiporter	97	1.25	1452	1	0	360	4	1	0	1452-1452	1452	1	1452	1	1452	1	1-1452	10	2
aroA	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	97	1.00	1323	1	0	1323	1	1	0	1-1	1323	1	1323	1	1323	1	1-1323	9	0
asd2	asd2	Aspartate-semialdehyde dehydrogenase 2	97	1.00	1005	1	0	1005	1	1	0	1005-1005	1005	1	1005	1	1005	1	1-1005	10	0
bioY2	bioY2	Biotin transporter BioY2	97	1.00	591	1	0	591	1	1	0	591-591	591	1	591	1	591	1	1-591	3	0
cysS	cysS	Cysteine--tRNA ligase	97	1.00	1494	1	0	638	2	1	0	1494-1494	1494	1	1494	1	1494	1	1-1494	10	4
dapL	dapL	LL-diaminopimelate aminotransferase	97	1.00	1185	1	0	1185	1	1	0	1185-1185	1185	1	1185	1	1185	1	1-1185	9	0
dnaA_1	dnaA_1	Chromosomal replication initiator protein DnaA	97	1.00	1371	1	0	1371	1	1	0	1371-1371	1371	1	1371	1	1371	1	1-1371	10	0
dxs_1	dxs_1	1-deoxy-D-xylulose-5-phosphate synthase	97	1.00	1923	1	0	1923	1	1	0	1923-1923	1923	1	1923	1	1923	1	1-1923	10	0
glmU	glmU	Bifunctional protein GlmU	97	1.00	618	1	0	618	1	1	0	618-618	618	1	618	1	618	1	1-618	10	0
gltX	gltX	Glutamate--tRNA ligase	97	1.00	1521	1	0	806	3	1	0	1521-1521	1	0	1521	1	1	0	1521-1521	10	2
group_102		hypothetical protein	97	1.00	1173	1	0	1173	1	1	0	1173-1173	1173	1	1173	1	1173	1	1-1173	10	0
group_103		hypothetical protein	97	1.00	1134	1	0	1134	1	1	0	1134-1134	1134	1	1134	1	1134	1	1-1134	2	0
group_117		hypothetical protein	97	1.00	999	1	0	999	1	1	0	999-999	999	1	999	1	999	1	1-999	10	0
group_135		hypothetical protein	97	1.00	873	1	0	873	1	1	0	873-873	873	1	873	1	873	1	1-873	3	0
group_148		hypothetical protein	97	1.00	789	1	0	789	1	1	0	789-789	789	1	789	1	789	1	1-789	9	0
group_169		hypothetical protein	97	1.00	672	1	0	672	1	1	0	672-672	672	1	672	1	672	1	1-672	3	0
group_176		hypothetical protein	97	1.00	648	1	0	648	1	1	0	648-648	648	1	648	1	648	1	1-648	10	0
group_178		hypothetical protein	97	1.00	633	1	0	633	1	1	0	633-633	633	1	633	1	633	1	1-633	10	0
group_180		hypothetical protein	97	1.00	603	1	0	603	1	1	0	603-603	603	1	603	1	603	1	1-603	8	0
group_184		hypothetical protein	97	1.00	582	1	0	582	1	1	0	582-582	582	1	582	1	582	1	1-582	10	0
group_189		hypothetical protein	97	1.00	555	1	0	555	1	1	0	1-1	1	0	555	1	1	0	1-1	9	0
group_216		hypothetical protein	97	1.00	477	1	0	477	1	1	0	477-477	477	1	477	1	477	1	1-477	8	0
group_218		hypothetical protein	97	1.00	468	1	0	468	1	1	0	468-468	468	1	468	1	468	1	1-468	2	0
group_259		hypothetical protein	97	1.00	300	1	0	300	1	1	0	300-300	300	1	300	1	300	1	1-300	7	0
group_261		hypothetical protein	97	1.00	294	1	0	294	1	1	0	294-294	294	1	294	1	294	1	1-294	3	0
group_300		hypothetical protein	97	1.00	1260	1	0	1260	1	1	0	1260-1260	1260	1	1260	1	1260	1	1-1260	10	0
group_335		hypothetical protein	97	1.00	192	1	0	192	1	1	0	192-192	1	0	192	1	1	0	192-192	2	0
group_354		hypothetical protein	97	1.03	1212	1	0	1212	1	1	0	1212-1212	1212	1	1212	1	1212	1	1-1212	2	0
group_358		hypothetical protein	97	1.00	330	1	0	330	1	1	0	1-1	330	1	330	1	330	1	1-330	2	0
group_365		hypothetical protein	97	1.00	858	1	0	858	1	1	0	858-858	520	2	858	1	520	2	339-858	3	0
group_4		hypothetical protein	97	1.00	276	1	0	276	1	1	0	276-276	276	1	276	1	276	1	1-276	9	0
group_42		hypothetical protein	97	1.13	1647	1	0	1647	1	1	0	1647-1647	1647	1	1647	1	1647	1	1-1647	2	0
group_67		hypothetical protein	97	1.00	2865	1	0	2865	1	1	0	2865-2865	2865	1	2865	1	2865	1	1-2865	10	0
group_7		hypothetical protein	97	1.00	3600	1	0	3600	1	1	0	3600-3600	3600	1	3600	1	3600	1	1-3600	10	0
group_73		hypothetical protein	97	1.00	1473	1	0	1473	1	1	0	1473-1473	1473	1	1473	1	1473	1	1-1473	10	0
group_8		hypothetical protein	97	1.00	2073	1	0	2073	1	1	0	2073-2073	2073	1	2073	1	2073	1	1-2073	10	0
group_80		hypothetical protein	97	1.00	1353	1	0	1353	1	1	0	1-1	1353	1	1353	1	1353	1	1-1353	9	0
group_93		hypothetical protein	97	1.00	1230	1	0	1230	1	1	0	1230-1230	1230	1	1230	1	1230	1	1-1230	9	0
group_97		hypothetical protein	97	1.00	1215	1	0	1215	1	1	0	1215-1215	1215	1	1215	1	1215	1	1-1215	8	0
group_99		hypothetical protein	97	1.00	1200	1	0	1200	1	1	0	1200-1200	1200	1	1200	1	1200	1	1-1200	2	0
kdsD	kdsD	Arabinose 5-phosphate isomerase KdsD	97	1.00	987	1	0	987	1	1	0	987-987	987	1	987	1	987	1	1-987	10	0
maf	maf	dTTP/UTP pyrophosphatase	97	1.00	591	1	0	591	1	1	0	1-1	1	0	591	1	1	0	1-1	8	0
malQ	malQ;	4-alpha-glucanotransferase;hypothetical protein	97	1.07	1584	1	0	1584	1	1	0	1584-1584	1584	1	1584	1	1584	1	1-1584	10	0
miaA	miaA	tRNA dimethylallyltransferase	97	1.00	1020	1	0	792	2	1	0	1020-1020	1020	1	792	2	792	2	229-1020	10	1
mqnE	mqnE	Aminodeoxyfutalosine synthase	97	1.00	1110	1	0	1110	1	1	0	1110-1110	1110	1	1110	1	1110	1	1-1110	10	0
murB	murB	UDP-N-acetylenolpyruvoylglucosamine reductase	97	1.00	876	1	0	480	2	1	0	876-876	876	1	876	1	876	1	1-876	10	4
murF	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	97	1.00	1353	1	0	1353	1	1	0	1353-1353	1353	1	1353	1	1353	1	1-1353	10	0
obg	obg	GTPase Obg	97	1.00	1008	1	0	483	2	1	0	1008-1008	1008	1	483	2	483	2	1-483	10	1
pal	pal	Peptidoglycan-associated lipoprotein	97	1.00	609	1	0	609	1	1	0	1-1	1	0	609	1	1	0	1-1	10	0
pmpD_2~~~pmpD_1~~~pmpD	pmpD_2;pmpD_1;pmpD	putative outer membrane protein PmpD	97	1.01	4596	1	0	4596	1	1	0	4596-4596	4596	1	4596	1	4596	1	1-4596	6	0
pmpE~~~pmpE_1~~~pmpE_2	pmpE;pmpE_1;pmpE_2	putative outer membrane protein PmpE	97	1.01	2898	1	0	2898	1	1	0	2898-2898	2898	1	2898	1	2898	1	1-2898	2	0
pth	pth	Peptidyl-tRNA hydrolase	97	1.00	540	1	0	540	1	1	0	540-540	464	1	540	1	464	1	77-540	6	0
rapA	rapA	RNA polymerase-associated protein RapA	97	1.00	3492	1	0	3188	2	1	0	3492-3492	1	0	3492	1	1	0	3492-3492	10	3
recA	recA	Protein RecA	97	1.00	1059	1	0	144	0	1	0	1059-1059	1	0	1059	1	1	0	1059-1059	10	17
rnz	rnz	Ribonuclease Z	97	1.00	915	1	0	915	1	1	0	915-915	915	1	915	1	915	1	1-915	10	0
rplI	rplI	50S ribosomal protein L9	97	1.00	504	1	0	504	1	1	0	504-504	1	0	504	1	1	0	504-504	10	0
rpsC	rpsC	30S ribosomal protein S3	97	1.00	675	1	0	306	1	1	0	675-675	1	0	675	1	1	0	675-675	10	15
rsbW	rsbW	Serine-protein kinase RsbW	97	1.00	441	1	0	441	1	1	0	441-441	441	1	441	1	441	1	1-441	6	0
sigA	sigA	RNA polymerase sigma factor SigA	97	1.00	1710	1	0	939	1	1	0	1710-1710	1	0	1710	1	1	0	1710-1710	10	25
surE	surE	5'-nucleotidase SurE	97	1.00	852	1	0	852	1	1	0	852-852	852	1	852	1	852	1	1-852	7	0
thrZ	thrZ	Threonine--tRNA ligase 2	97	1.00	1908	1	0	474	4	1	0	1908-1908	1908	1	1908	1	1908	1	1-1908	10	3
topA	topA	DNA topoisomerase 1	97	1.00	2574	1	0	1468	3	1	0	2574-2574	2574	1	2574	1	2574	1	1-2574	10	5
trxA	trxA	Thioredoxin	97	1.00	309	1	0	309	1	1	0	309-309	1	0	309	1	1	0	309-309	10	0
ttcA	ttcA	tRNA-cytidine(32) 2-sulfurtransferase	97	1.00	765	1	0	765	1	1	0	765-765	765	1	765	1	765	1	1-765	10	0
zwf	zwf	Glucose-6-phosphate 1-dehydrogenase	97	1.00	1524	1	0	744	2	1	0	1-1	1524	1	1524	1	1524	1	1-1524	10	5
GATC	GATC	Glutamyl-tRNA(Gln) amidotransferase subunit C chloroplastic/mitochondrial	97	1.00	303	0	0	303	1	0	0		0	0	303	1	0	0		3	0
PSD2	PSD2	Phosphatidylserine decarboxylase proenzyme 2	97	1.00	906	0	0	906	1	0	0		906	1	906	1	906	1	1-906	7	0
aas	aas	Bifunctional protein Aas	97	1.00	1614	0	0	1614	1	0	0		1614	1	1614	1	1614	1	1-1614	10	0
aaxA	aaxA	Porin AaxA	97	1.00	1386	0	0	1386	1	0	0		1386	1	1386	1	1386	1	1-1386	10	0
aaxB	aaxB	Pyruvoyl-dependent arginine decarboxylase AaxB	97	1.00	588	0	0	588	1	0	0		0	0	588	1	0	0		10	0
accA	accA	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	97	1.00	975	0	0	328	2	0	0		0	0	975	1	0	0		10	6
accD	accD	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	97	1.00	927	0	0	399	2	0	0		927	1	927	1	927	1	1-927	10	4
acoA	acoA	Acetoin:26-dichlorophenolindophenol oxidoreductase subunit alpha	97	1.00	1023	0	0	1023	1	0	0		1023	1	1023	1	1023	1	1-1023	10	0
acpP	acpP	Acyl carrier protein	97	1.00	234	0	0	18	0	0	0		0	0	234	1	0	0		10	1
acpS	acpS	Holo-[acyl-carrier-protein] synthase	97	1.00	360	0	0	360	1	0	0		360	1	360	1	360	1	1-360	9	0
ahpC	ahpC	Alkyl hydroperoxide reductase C	97	1.00	588	0	0	588	1	0	0		588	1	588	1	588	1	1-588	10	0
alsT_1	;alsT_1	hypothetical protein;Amino-acid carrier protein AlsT	97	1.03	1362	0	0	1362	1	0	0		1362	1	1362	1	1362	1	1-1362	10	0
alsT_2	alsT_2	Amino-acid carrier protein AlsT	97	1.00	1368	0	0	1368	1	0	0		1368	1	1368	1	1368	1	1-1368	10	0
apbE	apbE	FAD:protein FMN transferase	97	1.00	951	0	0	951	1	0	0		951	1	951	1	951	1	1-951	9	0
appB	appB	Cytochrome bd-II ubiquinol oxidase subunit 2	97	1.00	1062	0	0	1062	1	0	0		1062	1	1062	1	1062	1	1-1062	9	0
argS	argS	Arginine--tRNA ligase	97	1.00	1692	0	0	1180	2	0	0		1692	1	1692	1	1692	1	1-1692	10	4
aroB	aroB	3-dehydroquinate synthase	97	1.00	1122	0	0	1122	1	0	0		1122	1	1122	1	1122	1	1-1122	9	0
aroC	aroC	Chorismate synthase	97	1.00	1074	0	0	1074	1	0	0		1074	1	1074	1	1074	1	1-1074	10	0
aroE	aroE	Shikimate dehydrogenase (NADP(+))	97	1.00	1443	0	0	1443	1	0	0		1443	1	1443	1	1443	1	1-1443	3	0
aroF	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase	97	1.00	837	0	0	320	1	0	0		837	1	837	1	837	1	1-837	10	1
aroK	aroK	Shikimate kinase	97	1.00	555	0	0	555	1	0	0		555	1	555	1	555	1	1-555	2	0
artJ	artJ	putative ABC transporter arginine-binding protein ArtJ	97	1.00	774	0	0	774	1	0	0		774	1	774	1	774	1	1-774	10	0
aspS	aspS	Aspartate--tRNA(Asp/Asn) ligase	97	1.00	1845	0	0	742	2	0	0		1360	1	1845	1	1360	1	1-1360	10	22
atoC	atoC	Regulatory protein AtoC	97	1.00	1161	0	0	589	2	0	0		1161	1	1161	1	1161	1	1-1161	10	1
atoS	atoS	Signal transduction histidine-protein kinase AtoS	97	1.00	1059	0	0	1059	1	0	0		1059	1	1059	1	1059	1	1-1059	10	0
atpD	atpD	V-type ATP synthase subunit D	97	1.00	615	0	0	615	1	0	0		615	1	615	1	615	1	1-615	10	0
atpE	atpE	V-type proton ATPase subunit E	97	1.00	627	0	0	627	1	0	0		627	1	627	1	627	1	1-627	10	0
bamA	bamA	Outer membrane protein assembly factor BamA	97	1.00	2379	0	0	2379	1	0	0		2379	1	2379	1	2379	1	1-2379	10	0
bdbC	bdbC	disulfide formation protein	97	1.00	408	0	0	408	1	0	0		408	1	408	1	408	1	1-408	10	0
bepA	bepA	Beta-barrel assembly-enhancing protease	97	1.00	1008	0	0	1008	1	0	0		1008	1	1008	1	1008	1	1-1008	10	0
bfmBAB	bfmBAB	2-oxoisovalerate dehydrogenase subunit beta	97	1.00	987	0	0	987	1	0	0		0	0	987	1	0	0		10	0
brnQ	brnQ	Branched-chain amino acid transport system 2 carrier protein	97	1.00	1236	0	0	1236	1	0	0		1236	1	1236	1	1236	1	1-1236	9	0
cadA	cadA	putative cadmium-transporting ATPase	97	1.00	1980	0	0	1980	1	0	0		1980	1	1980	1	1980	1	1-1980	10	0
cca	cca	CCA-adding enzyme	97	1.00	1233	0	0	1233	1	0	0		1233	1	1233	1	1233	1	1-1233	10	0
cdaA_1~~~cdaA_2~~~cdaA	cdaA_1;cdaA_2;cdaA	Cyclic di-AMP synthase CdaA	97	1.01	693	0	0	693	1	0	0		693	1	693	1	693	1	1-693	10	0
chxR	chxR	Atypical response regulator protein ChxR	97	1.00	702	0	0	702	1	0	0		702	1	702	1	702	1	1-702	10	0
clpB1	clpB1	Chaperone protein ClpB 1	97	1.00	2604	0	0	477	3	0	0		2604	1	2604	1	2604	1	1-2604	10	25
clpC	clpC	ATP-dependent Clp protease ATP-binding subunit ClpC	97	1.00	2565	0	0	612	2	0	0		0	0	1164	3	0	0		10	24
clpP	clpP	ATP-dependent Clp protease proteolytic subunit	97	1.00	612	0	0	171	1	0	0		0	0	612	1	0	0		10	8
clpP1	clpP1	ATP-dependent Clp protease proteolytic subunit 1	97	1.00	579	0	0	579	1	0	0		0	0	579	1	0	0		10	0
clpX	clpX	ATP-dependent Clp protease ATP-binding subunit ClpX	97	1.00	1260	0	0	474	2	0	0		0	0	1260	1	0	0		10	16
clsA_1	clsA_1	Cardiolipin synthase A	97	1.00	1161	0	0	1161	1	0	0		1161	1	1161	1	1161	1	1-1161	8	0
cmk	cmk	Cytidylate kinase	97	1.00	651	0	0	651	1	0	0		651	1	651	1	651	1	1-651	10	0
coaE	coaE	Dephospho-CoA kinase	97	1.00	609	0	0	609	1	0	0		0	0	609	1	0	0		10	0
cpdA	cpdA	3'5'-cyclic adenosine monophosphate phosphodiesterase CpdA	97	1.00	873	0	0	873	1	0	0		873	1	873	1	873	1	1-873	8	0
cpoB	cpoB	Cell division coordinator CpoB	97	1.00	957	0	0	957	1	0	0		957	1	957	1	957	1	1-957	9	0
crp	crp	CRP-like cAMP-activated global transcriptional regulator	97	1.00	414	0	0	414	1	0	0		414	1	414	1	414	1	1-414	6	0
cydA	cydA	Cytochrome bd ubiquinol oxidase subunit 1	97	1.00	1341	0	0	661	2	0	0		1341	1	1341	1	1341	1	1-1341	10	1
cysJ	cysJ	Sulfite reductase [NADPH] flavoprotein alpha-component	97	1.00	1056	0	0	1056	1	0	0		1056	1	1056	1	1056	1	1-1056	9	0
cysQ	cysQ	3'(2')5'-bisphosphate nucleotidase CysQ	97	1.00	1029	0	0	1029	1	0	0		1029	1	1029	1	1029	1	1-1029	7	0
dapA	dapA	4-hydroxy-tetrahydrodipicolinate synthase	97	1.00	861	0	0	861	1	0	0		861	1	861	1	861	1	1-861	2	0
dapB	dapB	4-hydroxy-tetrahydrodipicolinate reductase	97	1.00	762	0	0	762	1	0	0		762	1	762	1	762	1	1-762	8	0
dapF	dapF	Diaminopimelate epimerase	97	1.00	828	0	0	828	1	0	0		769	1	828	1	769	1	60-828	8	0
dauA	dauA	C4-dicarboxylic acid transporter DauA	97	1.00	1701	0	0	1701	1	0	0		1701	1	1701	1	1701	1	1-1701	10	0
dcd	dcd	dCTP deaminase	97	1.00	573	0	0	243	1	0	0		573	1	573	1	573	1	1-573	10	1
ddpF	ddpF	putative DD-dipeptide transport ATP-binding protein DdpF	97	1.00	744	0	0	744	1	0	0		744	1	744	1	744	1	1-744	10	0
def	def	Peptide deformylase	97	1.00	546	0	0	546	1	0	0		546	1	546	1	546	1	1-546	7	0
der	der	GTPase Der	97	1.00	1473	0	0	1473	1	0	0		1473	1	1473	1	1473	1	1-1473	10	0
dinG_1	dinG_1	3'-5' exonuclease DinG	97	1.00	699	0	0	699	1	0	0		699	1	699	1	699	1	1-699	10	0
dinG_2	dinG_2	3'-5' exonuclease DinG	97	1.00	753	0	0	753	1	0	0		1	0	753	1	1	0	753-753	10	0
dnaC	dnaC	Replicative DNA helicase	97	1.00	1419	0	0	681	2	0	0		1419	1	1419	1	1419	1	1-1419	10	1
dnaE	dnaE	DNA polymerase III subunit alpha	97	1.00	3714	0	0	1411	3	0	0		3714	1	3714	1	3714	1	1-3714	10	6
dnaJ	dnaJ	Chaperone protein DnaJ	97	1.00	1179	0	0	915	1	0	0		0	0	1179	1	0	0		10	5
dnaK	dnaK	Chaperone protein DnaK	97	1.00	1983	0	0	334	1	0	0		0	0	1983	1	0	0		10	25
dnaN	dnaN	Beta sliding clamp	97	1.00	1101	0	0	1101	1	0	0		1101	1	1101	1	1101	1	1-1101	10	0
dsbD	dsbD	Thiol:disulfide interchange protein DsbD	97	1.00	2079	0	0	2079	1	0	0		2079	1	2079	1	2079	1	1-2079	10	0
dtd3	dtd3	D-aminoacyl-tRNA deacylase	97	1.00	792	0	0	792	1	0	0		792	1	792	1	792	1	1-792	10	0
dut	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	97	1.00	438	0	0	438	1	0	0		438	1	438	1	438	1	1-438	7	0
dxr	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	97	1.00	1140	0	0	594	2	0	0		1140	1	1140	1	1140	1	1-1140	10	1
dxs_2	dxs_2	1-deoxy-D-xylulose-5-phosphate synthase	97	1.00	2037	0	0	1109	2	0	0		2037	1	2037	1	2037	1	1-2037	10	2
efp_1	efp_1	Elongation factor P	97	1.00	558	0	0	558	1	0	0		0	0	558	1	0	0		10	0
efp_2	efp_2	Elongation factor P	97	1.00	573	0	0	573	1	0	0		0	0	573	1	0	0		10	0
eno	eno	Enolase	97	1.00	1275	0	0	284	1	0	0		1275	1	1275	1	1275	1	1-1275	10	14
exbB	exbB	Biopolymer transport protein ExbB	97	1.00	699	0	0	699	1	0	0		0	0	699	1	0	0		10	0
fabD	fabD	Malonyl CoA-acyl carrier protein transacylase	97	1.00	927	0	0	927	1	0	0		927	1	927	1	927	1	1-927	10	0
fabF	fabF	3-oxoacyl-[acyl-carrier-protein] synthase 2	97	1.00	1257	0	0	1257	1	0	0		0	0	1257	1	0	0		10	0
fabG	fabG	3-oxoacyl-[acyl-carrier-protein] reductase FabG	97	1.00	747	0	0	374	2	0	0		747	1	747	1	747	1	1-747	9	1
fabI	fabI	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI	97	1.00	897	0	0	897	1	0	0		897	1	897	1	897	1	1-897	10	0
fabZ	fabZ	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	97	1.00	462	0	0	232	1	0	0		0	0	462	1	0	0		10	4
fbaB	fbaB	Fructose-bisphosphate aldolase class 1	97	1.00	1047	0	0	173	1	0	0		0	0	1047	1	0	0		10	2
ffh	ffh	Signal recognition particle protein	97	1.00	1347	0	0	717	2	0	0		1347	1	1347	1	1347	1	1-1347	10	1
flhA	flhA	Flagellar biosynthesis protein FlhA	97	1.00	1818	0	0	1281	2	0	0		1818	1	1818	1	1818	1	1-1818	10	1
fliY	fliY	L-cystine-binding protein FliY	97	1.00	786	0	0	786	1	0	0		786	1	786	1	786	1	1-786	10	0
frdA_2~~~frdA_1~~~frdA	frdA_2;frdA_1;frdA	Fumarate reductase flavoprotein subunit	97	1.40	1881	0	0	651	2	0	0		1881	1	1881	1	1881	1	1-1881	10	2
frdB	;frdB	hypothetical protein;Fumarate reductase iron-sulfur subunit	97	1.00	717	0	0	717	1	0	0		717	1	717	1	717	1	1-717	10	0
frr	frr	Ribosome-recycling factor	97	1.00	540	0	0	540	1	0	0		0	0	540	1	0	0		10	0
ftsH	ftsH	ATP-dependent zinc metalloprotease FtsH	97	1.00	2742	0	0	1218	2	0	0		0	0	2742	1	0	0		10	24
ftsI	ftsI	Peptidoglycan DD-transpeptidase FtsI	97	1.00	1944	0	0	1944	1	0	0		1944	1	1944	1	1944	1	1-1944	10	0
ftsK	ftsK	DNA translocase FtsK	97	1.00	2439	0	0	1864	2	0	0		2439	1	2439	1	2439	1	1-2439	10	3
fumC_3~~~fumC_2~~~fumC_1~~~fumC	fumC_3;fumC_2;fumC_1;fumC	Fumarate hydratase class II	97	1.55	1392	0	0	391	3	0	0		1392	1	1392	1	1392	1	1-1392	10	6
fusA	fusA	Elongation factor G	97	1.00	2085	0	0	427	1	0	0		0	0	2085	1	0	0		10	25
gadC	gadC	Glutamate/gamma-aminobutyrate antiporter	97	1.00	1401	0	0	1401	1	0	0		1401	1	1401	1	1401	1	1-1401	10	0
gap	gap	Glyceraldehyde-3-phosphate dehydrogenase	97	1.00	1005	0	0	378	1	0	0		0	0	1005	1	0	0		10	6
gatA	gatA	Glutamyl-tRNA(Gln) amidotransferase subunit A	97	1.00	1476	0	0	433	3	0	0		1476	1	1476	1	1476	1	1-1476	10	10
gatB	gatB	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	97	1.00	1467	0	0	801	2	0	0		6	0	1467	1	6	0	1462-1467	10	4
gcvH	gcvH	Glycine cleavage system H protein	97	1.00	354	0	0	354	1	0	0		354	1	354	1	354	1	1-354	7	0
glgA	glgA	Glycogen synthase	97	1.00	1425	0	0	1425	1	0	0		1425	1	1425	1	1425	1	1-1425	10	0
glgB	glgB	14-alpha-glucan branching enzyme GlgB	97	1.00	2217	0	0	814	2	0	0		2217	1	2217	1	2217	1	1-2217	10	3
glgC	glgC	Glucose-1-phosphate adenylyltransferase	97	1.00	1326	0	0	1326	1	0	0		1326	1	1326	1	1326	1	1-1326	10	0
glmM	glmM	Phosphoglucosamine mutase	97	1.00	1377	0	0	1021	2	0	0		1377	1	1377	1	1377	1	1-1377	10	4
glmS	glmS	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]	97	1.00	1821	0	0	1065	3	0	0		1821	1	1821	1	1821	1	1-1821	10	2
gltT	gltT	Proton/sodium-glutamate symport protein	97	1.00	1239	0	0	1239	1	0	0		1239	1	1239	1	1239	1	1-1239	10	0
glyA	glyA	Serine hydroxymethyltransferase	97	1.00	1494	0	0	733	2	0	0		1494	1	1494	1	1494	1	1-1494	10	1
gmk	gmk	Guanylate kinase	97	1.00	618	0	0	618	1	0	0		618	1	618	1	618	1	1-618	10	0
